cell_key,variant,mode,shape_name,shape_json,lengths_json,heads,dim,pre_change_default_normalized,post_heuristic_normalized,pretuned_aot_normalized,fla_triton_normalized,pretuned_aot_vs_post_heuristic,post_heuristic_vs_fla_triton,pre_change_default_latency_us,post_heuristic_latency_us,pretuned_aot_latency_us,fla_triton_latency_us
vanilla_linear_attn::forward::B4_T4096_H64_D128,vanilla_linear_attn,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,4.11099465918648,4.517980481688269,3.294516414720772,1.0989993556893423,1.2478294662055611,1991.514163242804,484.4360862382882,440.79742515811387,604.4936229014344
vanilla_linear_attn::forward_backward::B4_T4096_H64_D128,vanilla_linear_attn,forward_backward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,2.8678369449465433,3.6214243198285185,2.3138213666597447,1.2627720436511853,1.2394374891120403,6326.167126919361,2205.9019561997034,1746.8726578880758,2734.0775818194984
simple_gla::forward::B4_T4096_H64_D128,simple_gla,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,4.174648922090537,4.4626685919031575,3.1424559614501355,1.0689925488796286,1.328466961288482,2243.5925425463956,537.43262832815,502.74684224077447,713.9614906523797
simple_gla::forward_backward::B4_T4096_H64_D128,simple_gla,forward_backward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,2.9924606662084168,3.389362522219999,2.004126617559497,1.1326339425254583,1.493149504621845,6828.732371330261,2281.978990882635,2014.7541983374233,3407.335799793864
retention::forward::B4_T4096_H64_D128,retention,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,4.171941504292068,4.4713082278700105,2.5133087322211956,1.071757171875482,1.6599399233396275,2246.1319336524375,538.390083212248,502.3433454334736,893.6951934541546
retention::forward_backward::B4_T4096_H64_D128,retention,forward_backward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,2.992824337221153,3.3844320709627933,2.2079045103290427,1.1308488870767635,1.3555044265818972,6828.778927976435,2281.7172538489103,2017.703054691183,3092.877837800488
full_gla::forward::B4_T4096_H64_D128,full_gla,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,2.319672938871638,2.556017266331885,1.529541665331351,1.101886918409805,1.5165804184674614,3347.163687931018,1442.9463877606747,1309.5231131730575,2188.3442365761957
full_gla::forward_backward::B4_T4096_H64_D128,full_gla,forward_backward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,2.153808332506723,2.3852110551541488,0.9626101458020364,1.10743886498856,2.2374668934246413,9905.788913849861,4599.197042905367,4153.003103203243,10290.551119837268
delta_rule::forward::B4_T4096_H64_D128,delta_rule,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,2.069070537125955,2.297582744595945,1.6498122301653027,1.1104419609528662,1.2541248629964663,2935.2535328062454,1418.6338648867252,1277.5398577962603,1779.1440014432117
delta_rule::forward_backward::B4_T4096_H64_D128,delta_rule,forward_backward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,1.6440188576802162,1.9273937108111732,2.085822348963933,1.1723671549186556,0.7881873825433076,9829.338842822659,5978.847990036011,5099.808507046457,4712.452547890799
gated_delta_rule::forward::B4_T4096_H64_D128,gated_delta_rule,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,2.0240442797356857,2.3305776271050154,2.110720758840127,1.1514459690621783,0.958935127377024,3289.346122741699,1625.135455619205,1411.3866384393477,1558.3994751391203
gated_delta_rule::forward_backward::B4_T4096_H64_D128,gated_delta_rule,forward_backward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,1.5021713030792876,2.079951813703373,1.8972374596288786,1.38463024119799,0.7917676806640375,12142.721405029297,8083.446528460529,5837.982074887144,6400.211709610959
kda::forward::B4_T4096_H64_D128,kda,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,1.6016300252650282,1.7807189301983493,1.3646598522541478,1.1118166506048652,1.1736477940781014,4104.036827609963,2562.4125190403147,2304.7078109922863,3007.369800489776
kda::forward_backward::B4_T4096_H64_D128,kda,forward_backward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,1.25745962831927,1.4784500469777129,1.2721336208920175,1.1757435496786646,0.9884650540385388,18396.57974243164,14629.956563313803,12443.152732849121,14461.200804937453
kda_fused::forward::B4_T4096_H64_D128,kda_fused,forward,B4_T4096_H64_D128,"[4,64,4096,128,128]",null,,,1.0,1.5028587391069363,1.7049518753484307,1.3569250685789123,1.134472476343044,1.1075473317630267,4333.494759988093,2883.501055171189,2541.7108967386444,3193.6138997907224
vanilla_linear_attn::forward::B8_T2048_H32_D256,vanilla_linear_attn,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,4.47669382192398,5.834140598435316,4.50170830957969,1.303225288685912,0.9944433344109659,3722.7236470089683,831.5787934339963,638.0928920374977,826.9579881679512
vanilla_linear_attn::forward_backward::B8_T2048_H32_D256,vanilla_linear_attn,forward_backward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,3.0402227295410706,4.230056530948798,0.228195058531908,1.391364024038902,13.322912201080651,11897.05591935378,3913.218529600846,2812.505183396516,52135.466893514
simple_gla::forward::B8_T2048_H32_D256,simple_gla,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,4.474618406572904,5.7616579658897615,3.996605636729335,1.287631132394728,1.1196046879007946,4058.720425383686,907.0539779261863,704.4361969093223,1015.5418858652221
simple_gla::forward_backward::B8_T2048_H32_D256,simple_gla,forward_backward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,3.0918902403589392,4.005446499008725,1.346718418785284,1.2954685281919096,2.2958698694770723,12341.574363708496,3991.5952392526574,3081.198155252557,9164.183240948301
retention::forward::B8_T2048_H32_D256,retention,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,4.475222886257185,5.77241320832643,3.002099215633782,1.2898604952286834,1.4906978633324108,4059.314825763441,907.0642801343052,703.2266539595734,1352.1587843013601
retention::forward_backward::B8_T2048_H32_D256,retention,forward_backward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,3.0882792233637444,4.002028108130078,0.23866363910990185,1.2958763825024477,12.939881562526697,12339.910430908203,3995.7236824808897,3083.4142333582827,51704.19120788574
full_gla::forward::B8_T2048_H32_D256,full_gla,forward,B8_T2048_H32_D256,"[8,32,2048,256,256]",null,,,1.0,2.792194548018965,3.4224527695682903,2.0729267392748594,1.225721456979596,1.3469817794890888,5756.0910811791055,2061.4935607774883,1681.861363394412,2776.7942649013594
